Wall time,Step,Value
1503373430.0860782,12700,0.734375
1503373470.2118409,12900,0.8046875
1503373490.4914773,13000,0.82421875
1503373551.1364634,13300,0.828125
1503373571.5964942,13400,0.5859375
1503373621.5898871,13600,0.9453125
1503373646.817667,13700,0.89453125
1503373687.7826846,13900,0.875
1503373730.189409,14100,0.60546875
1503373751.4288259,14200,0.96875
1503373771.295314,14300,0.60546875
1503373791.4327397,14400,0.6953125
1503373811.4397655,14500,0.8359375
1503373831.6825721,14600,0.796875
1503373874.0514038,14800,0.59765625
1503373893.060435,14900,0.51953125
1503373908.1418161,15000,0.43359375
1503373923.1646664,15100,0.5390625
1503373953.2979114,15300,0.63671875
1503373968.6377544,15400,0.59375
1503373983.9403005,15500,0.7890625
1503374000.775782,15600,0.61328125
1503374015.8544776,15700,0.5859375
1503374031.0648468,15800,0.546875
1503374046.0881784,15900,0.68359375
1503374082.640521,16100,0.703125
1503374100.9503238,16200,0.5703125
1503374134.6491027,16400,0.640625
1503374151.8428957,16500,0.65234375
1503374187.060024,16700,0.54296875
1503374203.8015804,16800,0.41015625
1503374220.9779515,16900,0.59765625
1503374257.4969063,17100,0.6484375
1503374275.05064,17200,0.81640625
1503374292.3337688,17300,0.828125
1503374329.368415,17500,0.78125
1503374346.4552424,17600,0.7890625
1503374362.992336,17700,0.74609375
1503374378.012468,17800,0.609375
1503374410.48784,18000,0.71484375
1503374430.3076935,18100,0.76171875
1503374448.4722302,18200,0.66796875
1503374466.5957186,18300,0.6796875
1503374482.503183,18400,0.59765625
1503374497.9980319,18500,0.69140625
1503374515.5527036,18600,0.79296875
1503374533.1543992,18700,0.79296875
1503374552.9054203,18800,0.81640625
1503374573.2565157,18900,0.74609375
1503374592.5145788,19000,0.703125
1503374612.114047,19100,0.765625
1503374667.1681433,19400,0.70703125
1503374746.3656032,19800,0.78125
1503374766.425794,19900,0.72265625
1503374787.4629588,20000,0.8359375
1503374805.037867,20100,0.875
1503374822.5092351,20200,0.81640625
1503374842.03417,20300,0.8046875
1503374881.1137125,20500,0.61328125
1503374897.8958833,20600,0.7265625
1503374916.7890837,20700,0.62890625
1503374933.8048773,20800,0.71484375
1503374949.879373,20900,0.72265625
1503374998.4760914,21200,0.71875
1503375014.8677895,21300,0.8125
1503375031.9129097,21400,0.7265625
1503375049.8668883,21500,0.76953125
1503375066.793074,21600,0.828125
1503375083.040557,21700,0.8515625
1503375101.0510128,21800,0.5859375
1503375121.1696079,21900,0.60546875
1503375143.0123606,22000,0.625
1503375159.5638762,22100,0.796875
1503375176.0521214,22200,0.703125
1503375192.2484431,22300,0.62890625
